name,party,dim1,dim2
Anders Havelund Krøyer,Det Konservative Folkeparti,0.7287535838990816,-0.783498604677303
Anders Krojgaard Lund,Det Konservative Folkeparti,0.8345012460853244,-0.747639377447518
Anders Storgaard,Det Konservative Folkeparti,0.920883579736313,-0.019222289470611165
Anne Fiber,Det Konservative Folkeparti,0.40519181949625316,0.40452037385695644
Barbara Engelstoft,Det Konservative Folkeparti,0.902042184964201,-0.031670277158517335
Birgitte Bergman,Det Konservative Folkeparti,0.24310682844423664,-0.46838810462920655
Bjørn Jensen,Det Konservative Folkeparti,0.5620098349615796,-0.4702481357900321
Carina Høedt,Det Konservative Folkeparti,0.7676544183068754,0.02832126887682157
Caroline Svejsø,Det Konservative Folkeparti,0.07059271209485118,-0.570576819389873
Charlotte Green,Det Konservative Folkeparti,0.512831266506797,-0.5075307530209453
Christian Vigilius,Det Konservative Folkeparti,0.3025678574097904,-0.44849932847029866
Christina Foldager,Det Konservative Folkeparti,1.013823857788452,-0.14928139637805093
Dan Arnløv,Det Konservative Folkeparti,0.9597310717289071,-0.5883828825992422
Dina Andersen-Raabjerg,Det Konservative Folkeparti,0.190555814470608,-0.0762664839368702
Dorte Vilhelmsen,Det Konservative Folkeparti,-0.09208192826630937,-0.4472602891356824
Egil Hulgaard,Det Konservative Folkeparti,0.817926339997304,-0.37680051958592703
Emma Juul Hansen,Det Konservative Folkeparti,0.3898270382697212,-0.47261984786686656
Frederik Bloch Münster,Det Konservative Folkeparti,0.33924584889958953,-0.46644146513565493
Frederik Germann,Det Konservative Folkeparti,-0.6008121245928378,-0.798196711419232
Gitte Eriksen,Det Konservative Folkeparti,0.35229314383210697,-0.7295159419733146
Gorm Hoff Lauridsen,Det Konservative Folkeparti,0.7976319500123126,-0.4696173202355404
Helene Fagerhøj,Det Konservative Folkeparti,0.33449491820618726,-0.25791377406653293
Helle Bonnesen,Det Konservative Folkeparti,0.5891988448475534,-0.47635315037395465
Henrik Jacobsen,Det Konservative Folkeparti,0.12661753027720002,-0.7961900975277066
Ida Dyhr,Det Konservative Folkeparti,0.5224118750378991,-0.5124452659075938
Isabella Arendt,Det Konservative Folkeparti,1.0511445938391888,-0.027589123619580103
Jacob Stryhn,Det Konservative Folkeparti,0.4640663199755694,-0.470620511981
Jacob Skjærris,Det Konservative Folkeparti,0.5366072781139523,-0.5265309437672097
Jane Christensen,Det Konservative Folkeparti,-0.3065859518052082,-0.6150211345389465
Jannie Boysen Westergaard,Det Konservative Folkeparti,0.2934817305606592,-0.041650609432462266
Jens Langer Schou,Det Konservative Folkeparti,0.13126950644273344,-1.031986843235772
Jette Larsen,Det Konservative Folkeparti,0.7795761512219688,-0.05083182971616279
Joachim Hoffmann-Petersen,Det Konservative Folkeparti,0.36307707421337054,-0.5764477536860214
Johan Emil Sevelsted,Det Konservative Folkeparti,0.19164645212887899,-1.2178231563397675
John Hoppe,Det Konservative Folkeparti,0.007346808595659254,-0.43277794719022855
Jørgen Christian Pedersen,Det Konservative Folkeparti,-0.47846646807225834,-0.6040691354939719
Klavs Norup Lauridsen,Det Konservative Folkeparti,0.08900915808921964,-0.055957533237623244
Kristian Thomsen,Det Konservative Folkeparti,-0.23327675053142666,-1.030464559522438
Kristoffer Kromand,Det Konservative Folkeparti,0.2783696504734166,-0.3913749924628225
Laura Holm,Det Konservative Folkeparti,0.3577104820240041,-0.43604334010249735
Lene Burchardt,Det Konservative Folkeparti,0.9492054531520109,-0.23699711871648238
Lennart Qvist,Det Konservative Folkeparti,-0.1937968056111486,-0.5029544708460189
Line Ervolder,Det Konservative Folkeparti,0.1646086279344653,-0.251998118418855
Lise Bertelsen,Det Konservative Folkeparti,0.3084286954525001,-0.896392219718877
Magnus Von Dreiager,Det Konservative Folkeparti,0.454893481226389,-0.453551217422721
Mai Mercado,Det Konservative Folkeparti,0.050338140985063284,-0.9025843471650239
